Station,lat,lon
תחנת משטרת בית שאן,32.5061839,35.4947251
מחוז חוף - תחנת משטרת חיפה,32.8044239,35.0108909
תחנת משטרת טבריה,32.7948555,35.5257692
תחנת משטרת באר שבע,31.2404763,34.7883985
תחנת משטרת בית שמש - מטה יהודה,31.7613199,34.9944877
תחנת משטרת בנימין,31.7852919,35.213762
תחנת משטרת גבעתיים,32.0670048,34.8083139
תחנת גולן (קצרין),32.9956395,35.6869564
תחנת משטרת גלילות (הרצליה),32.1641769,34.8156524999999
תחנת משטרת דימונה,31.0674712,35.0334644
תחנת  משטרת עיירות,31.303312,34.8971701
תחנת משטרת הראל,31.8026487,35.1490993
תחנת משטרת שכונות,32.0465165,34.7994549
תחנת משטרת זבולון,32.815192,35.073206
תחנת משטרת זכרון יעקב,32.5732791,34.9393605
תחנת משטרת חדרה,32.4371955,34.9116862
תחנת משטרת טירת הכרמל,32.7587774,34.9746584
תחנת משטרת יבנה,31.8779745,34.7510916
"מחוז ת""א - מרחב יפתח- תחנת יפו",32.0543907,34.7623271
תחנת משטרת ירדן ( ראש פינה),32.969908,35.549047
תחנת משטרת כפר סבא מרחב שרון,32.1756144,34.8917926
תחנת משטרת כרמיאל,32.9224148,35.3040051
תחנת משטרת לב הבירה- מחוז ירושלים,31.7811705,35.2216837999999
תחנת משטרת לב תל אביב,32.0900187,34.7755953
תחנת משטרת לוד,31.9509987,34.8935334
תחנת משטרת מגדל העמק,32.678392,35.246892
תחנת משטרת מודיעין,31.9094741,35.0127454999999
תחנת משטרת מוריה,31.7505077,35.2139024000001
תחנת משטרת מסובים (אור יהודה),32.036592,34.8456140000001
"תחנת משטרת מעלה אדומים- מחוז ש""י",31.7688528,35.2916599
תחנת משטרת מעלות תרשיחא,33.016465,35.263885
תחנת משטרת משגב (רקפת),32.8606425,35.2641116
תחנת משטרת נהריה,33.0057151,35.1012109
תחנת משטרת נצרת,32.706255,35.3002789
תחנת משטרה - מחוז צפון,32.7105408,35.3034807
תחנת משטרת נצרת עילית,32.7014693,35.3135536
תחנת משטרת נתיבות,31.419973,34.590156
תחנת משטרת נתניה,32.294481,34.8542689999999
תחנת משטרת עוז,31.752015,35.2415550000001
תחנת משטרת עירון,32.506417,35.097442
תחנת משטרת עכו,32.9280067,35.0696295
תחנת משטרת עפולה,32.6092239,35.2903043
תחנת משטרת עציון,31.7064184,35.1217911
תחנת משטרת ערד,31.2567694,35.2122985
תחנת משטרת פתח תקווה,32.0920578,34.8884121
תחנת משטרת צפת - מרחב כינרת,32.969652,35.5498709
תחנת משטרת קדמה,32.2493484,34.9934668000001
תחנת משטרת קרית גת,31.6046357,34.7747902999999
תחנת משטרת קריית מלאכי,31.727087,34.7482697
תחנת משטרת קרית שמונה,33.2129123,35.5682038
תחנת משטרת ראש העין,32.0988002,34.9453306
תחנת משטרת ראשון לציון,31.9744002,34.7970474
תחנת משטרת רהט,31.4078536,34.7555665
תחנת משטרת רחובות - מרחב שפלה,31.8998061,34.8103078
תחנת משטרת רמלה - מחוז מרכז,31.9313326,34.8689509000001
תחנת  משטרת שדות,32.2826616,34.9076019
תחנת משטרת שדרות,31.5225382,34.5917484
תחנת משטרת שלם,31.7852919,35.213762
תחנת משטרת שפט,31.8419319,35.2404023
תחנת משטרת שפרעם,32.8139096,35.167566
"תחנת שר""ת (תל אביב)",32.0613851,34.7849588
תחנת משטרת תל אביב צפון- מרחב ירקון,32.1081418,34.8357443
משטרת מחוז דרום,31.245318,34.7883783
משטרת מרחב ציון,31.7792467,35.2232377
משטרת מרחב קדם,31.8083218,35.2336644
משטרת מרחב שומרון,32.1043926,35.1719642
תחנת חולון - משטרת מרחב איילון,32.0142098,34.7752075999999
תחנת אילת - משטרת מרחב אילת,29.5576956,34.955497
משטרת מרחב גליל,32.8123373,35.1047328
משטרת מרחב דוד,31.7748407,35.2287123999999
משטרת מרחב דן,32.0988698,34.8312806
תחנת משטרת אשדוד - מרחב לכיש,31.7788646,34.6503539
"תחנת משטרת נתב""ג - מרחב נתב""ג",31.994437,34.896552
משטרת מרחב חברון,31.532015,35.110757
נקודת משטרת בית דגן,32.0030859,34.8325999
נקודת משטרת בת ים,32.0141546,34.7570915
נקודת משטרת גדרה,31.8163607,34.7774322
נקודת משטרת גן יבנה,31.782841,34.7074749999999
נקודת הבורסה (רמת גן),32.0859014,34.8018462
נקודת משטרה הגבעה הצרפתית (ירושלים),31.7997516,35.2370982
נקודת משטרת הוד השרון,32.1577812,34.8995741
"נקודת הכרמל (שוק הכרמל ת""א)",32.0661457,34.7683552
נקודת המרינה עכו,32.919724,35.0692661
נקודת המתקן הפתוח - סהרונים,30.885005,34.450837
נקודת הר הזיתים (ירושלים),31.7783314,35.239711
נקודת הר חומה,31.730516,35.2197180000001
נקודת טבעון,32.7217617,35.1302814000001
נקודת יקנעם,32.6567831,35.1080365
נקודת ירוחם,30.985466,34.94191
נקודת כפר יסיף,32.956056,35.160646
נקודת מגילות,31.741248,35.459148
נקודת משטרה מודיעין עילית,31.963415,35.04727
נקודת מחנה יהודה,31.7853498,35.2123235
נקודת משטרה מסעדה,33.226451,35.757668
נקודת מעבר הגבול גשר אלנבי,31.874191,35.540801
נקודת מעלה אפרים,32.0682332,35.4023324
נקודת מצפה רמון,30.609531,34.80416
נקודת נווה זוהר - ים המלח,31.200156,35.362522
נקודת נווה שלום (לוד),31.952725,34.876669
נקודת משטרת נס ציונה,31.9301683,34.7983629
נקודת משטרת נשר,32.7674108,35.0506332
נקודת משטרת פרדס חנה,32.4747081,34.9762999
נקודת קבר דוד,31.7709233,35.2284626000001
נקודת קריית הלאום,31.7824565,35.204449
נקודת רכס הכרמל,32.7216469,35.0608807
נקודת רמות,31.8650852,35.1665523
נקודת משטרת רמת השרון,32.1370028,34.8432895
נקודת משטרת רעננה,32.1781198,34.8593126000001
נקודת שגב שלום,31.199073,34.8388190000001
נקודת משטרת שוהם,32.0035307,34.9443648
נקודת משטרת תבור,32.6878122,35.3749459
נקודת משטרת תל שבע,31.2466165,34.8566941
תחנת אום אל פחאם,32.5258459,35.1549207
תחנת משטרת אופקים,31.3209678,34.6186013
תחנת משטרת אשקלון,31.6663722,34.5622499999999
