יישוב,דירוג_חברתי_כלכלי
נווה מדבר,1
ערערה-בנגב,1
תל שבע,1
אל קסום,1
כסיפה,1
שגב-שלום,1
מודיעין עילית,1
חורה,1
לקיה,2
ביתר עילית,2
רהט,2
עמנואל,2
רכסים,2
בני ברק,2
בית שמש,2
כפר מנדא,2
אלעד,2
ג'סר א-זרקא,2
עילוט,2
צפת,2
אום אל-פחם,2
יבנאל,2
אל - בטוף,2
ביר אל-מכסור,2
ירושלים,2
קריית יערים,2
משהד,3
עין מאהל,3
כפר כנא,3
בועיינה-נוג'ידאת,3
מעלה עירון,3
זרזיר,3
נחף,3
ריינה,3
שעב,3
בענה,3
ע'ג'ר,3
"בסמ""ה",3
ג'לג'וליה,3
מצפה רמון,3
מסעדה,3
קריית ארבע,3
כעביה-טבאש-חג'אג'רה,3
יפיע,3
בסמת טבעון,3
בוקעאתא,3
ערד,3
טובא-זנגרייה,3
עין קנייא,3
ג'דיידה-מכר,3
טורעאן,3
כסרא-סמיע,3
מגאר,3
בוסתן אל -מרג',3
טבריה,3
טמרה,3
אכסאל,3
נתיבות,3
פוריידיס,3
כאבול,3
לוד,3
קלנסווה,3
אופקים,3
עראבה,3
שבלי - אום אל-גנם,3
שפרעם,3
אבו גוש,3
נצרת,3
ירכא,3
מעלה אפרים,3
טייבה,3
קריית מלאכי,3
מג'ד אל-כרום,3
אעבלין,3
אבו סנאן,3
מג'דל שמס,3
ערערה,4
ירוחם,4
כפר קאסם,4
בית אל,4
באקה אל-גרביה,4
קריית גת,4
דייר חנא,4
חצור הגלילית,4
דייר אל-אסד,4
סח'נין,4
בית ג'ן,4
עכו,4
סאג'ור,4
זמר,4
דבורייה,4
יאנוח-ג'ת,4
מזרעה,4
כפר ברא,4
רמלה,4
מגדל העמק,4
בית שאן,4
דימונה,4
גבעת זאב,4
כאוכב אבו אל-היג'א,5
עפולה,5
נוף הגליל,5
חורפיש,5
טירה,5
עספיא,5
קריית ים,5
אשדוד,5
קצרין,5
בת ים,5
דאלית אל-כרמל,5
חריש,5
קריית שמונה,5
ג'ולס,5
אשקלון,5
שדרות,5
כפר קרע,5
באר שבע,5
הגלבוע,5
מטה בנימין,5
ראמה,5
מעלות-תרשיחא,5
נחל שורק,5
חבל אילות,5
שפיר,5
פקיעין (בוקייעה),5
כפר יאסיף,5
קריית עקרון,5
"בני עי""ש",5
זבולון,5
עיילבון,5
אור עקיבא,5
קדומים,5
מגדל,5
אור יהודה,5
הר חברון,5
מרום הגליל,5
כרמיאל,5
ג'ת,5
חבל יבנה,6
נתניה,6
קריית אתא,6
טירת כרמל,6
נהרייה,6
גוש עציון,6
אילת,6
קרני שומרון,6
ערבות הירדן,6
חדרה,6
שדות נגב,6
עמק לוד,6
שלומי,6
רמת נגב,6
גולן,6
אריאל,6
מרחבים,6
מעלה אדומים,6
שומרון,6
עמק המעיינות,6
כפר כמא,6
אשכול,6
קריית ביאליק,6
חולון,7
פסוטה,7
חיפה,7
אליכין,7
קריית מוצקין,7
מעלה יוסף,7
מגידו,7
עמק הירדן,7
אזור,7
יבנה,7
אפרת,7
מטה אשר,7
לכיש,7
פתח תקווה,7
ג'ש (גוש חלב),7
נשר,7
בית דגן,7
תמר,7
מגילות ים המלח,7
הגליל התחתון,7
רחובות,7
הגליל העליון,7
משגב,7
מנשה,7
ראש פינה,7
חוף אשקלון,7
פרדס חנה-כרכור,7
ראשון לציון,7
גדרה,7
מטה יהודה,7
בית אריה-עופרים,7
שער הנגב,7
גן יבנה,7
ראש העין,7
כפר יונה,7
באר יעקב,7
הערבה התיכונה,7
יקנעם עילית,7
מבואות החרמון,7
חבל מודיעין,7
באר טוביה,7
מטולה,7
יסוד המעלה,7
מעיליא,7
יהוד-מונוסון,7
בני שמעון,7
חוף הכרמל,8
אלקנה,8
מבשרת ציון,8
רמת גן,8
יואב,8
עמק יזרעאל,8
זכרון יעקב,8
גבעת שמואל,8
אלפי מנשה,8
גזר,8
כפר סבא,8
אלונה,8
קריית טבעון,8
לב השרון,8
ברנר,8
קדימה-צורן,8
עמק חפר,8
כפר תבור,8
רעננה,8
תל אביב -יפו,8
מזכרת בתיה,8
נס ציונה,8
רמת ישי,8
אורנית,8
הרצלייה,8
בנימינה-גבעת עדה,8
חוף השרון,8
גן רווה,8
דרום השרון,8
מודיעין-מכבים-רעות,8
תל מונד,9
גני תקווה,9
פרדסייה,9
מיתר,9
כפר ורדים,9
הוד השרון,9
גבעתיים,9
קריית אונו,9
אבן יהודה,9
שוהם,9
רמת השרון,9
הר אדר,9
גדרות,9
עומר,9
כוכב יאיר,9
להבים,9
כפר שמריהו,10
סביון,10
